Piece	Kanji	Rōmaji	Promotes to	Kanji	Rōmaji
King	玉将	gyokushō	—		
Prince	太子	taishi	King	玉将	gyokushō
Great general	大将	taishō	—		
Gold general	金将	kinshō	Rook	飛車	hisha
Right general	右将	ushō	*Right army	右軍	ugun
Left general	左将	sashō	*Left army	左軍	sagun
Rear standard	後旗	kōki	Center standard	中旗	chūki
Queen	奔王	honnō	Great general	大将	taishō
Free dream-eater	奔獏	honbaku	Queen	奔王	honnō
Wooden dove	鳩槃	kyūhan	—		
Ceramic dove	鳩盤	kyūban	—		
Earth dragon	地龍	chiryū	Rain dragon	雨龍	uryū
Free demon	奔鬼	honki	Queen	奔王	honnō
Running horse	走馬	sōma, sōba	Free demon	奔鬼	honki
Beast cadet	獣曹	jūsō	Beast officer	獣吏	jūri
Long-nosed goblin	天狗	tengu	—		
Right mountain eagle	右山鷲	usanshū	Soaring eagle	飛鷲	hijū
Left mountain eagle	左山鷲	sasanshū	Soaring eagle	飛鷲	hijū
Fire demon	火鬼	kaki	*Free fire	奔火	honka
Whale	鯨鯢	keigei	*Great whale	大鯨	daigei
Running rabbit	走兎	sōto	Treacherous fox	隠狐	inko, onko
White tiger	白虎	byakko	*Divine tiger	神虎	shinko
Turtle-snake	玄武	genbu	*Divine turtle	神亀	shinki
Lance	香車	kyōsha	White horse	白駒	hakku
Reverse chariot	反車	hensha	Whale	鯨鯢	keigei
Fragrant elephant	香象	kōzō	*Elephant king	象王	zōō
White elephant	白象	hakuzō	*Elephant king	象王	zōō
Turtle dove	山鳩	sankyū	Great dove	大鳩	daikyū
Flying swallow	飛燕	hien	Rook	飛車	hisha
Captive officer	禽吏	kinri	*Captive bird	禽鳥	kinchō
Rain dragon	雨龍	uryū	Great dragon	大龍	dairyū
Forest demon	森鬼	shinki	*Thunder runner	雷走	raisō
Mountain stag	山鹿	sanroku	Great stag	大鹿	dairoku
Running pup	走狗	sōku	*Free leopard	奔豹	honpyō
Running serpent	走蛇	sōja	*Free serpent	奔蛇	honja
Side serpent	横蛇	ōja	*Great shark	大鱗	dairin
Great dove	大鳩	daikyū	Wooden dove	鳩槃	kyūhan
Running tiger	走虎	sōko	*Free tiger	奔虎	honko
Running bear	走熊	sōyū	*Free bear	奔熊	hon'yū
Yaksha	夜叉	yasha	*Heavenly tetrarch	四天	shiten
Buddhist devil	羅刹	rasetsu	*Heavenly tetrarch	四天	shiten
Guardian of the gods	金剛	kongō	*Heavenly tetrarch	四天	shiten
Wrestler	力士	rikishi	*Heavenly tetrarch	四天	shiten
Silver general	銀将	ginshō	Vertical mover	竪行	shugyō
Drunken elephant	酔象	suizō	Prince	太子	taishi
Neighboring king	近王	kinnō	Front standard	前旗	zenki
Gold chariot	金車	kinsha	*Playful cockatoo	遊䳇	yūmo
Side dragon	横龍	ōryū	*Running dragon	走龍	sōryū
Running stag	走鹿	sōroku	*Free stag	奔鹿	honroku
Running wolf	走狼	sōrō	*Free wolf	奔狼	honrō
Bishop general	角将	kakushō	*Rain demon	霖鬼	rinki
Rook general	飛将	hishō	*Flying crocodile	飛鰐	higaku
Right tiger	右虎	uko	White tiger	白虎	byakko
Left tiger	左虎	sako	Turtle-snake	玄武	genbu
Right dragon	右龍	uryū	Blue dragon	青龍	seiryū
Left dragon	左龍	saryū	Vermillion sparrow	朱雀	suzaku
Beast officer	獣吏	jūri	*Beast bird	獣鳥	jūchō
Wind dragon	風龍	fūryū	*Free dragon	奔龍	honryū
Free pup	奔狗	honku	*Free dog	奔犬	honken
Rushing bird	行鳥	gyōchō	Free demon	奔鬼	honki
Old kite	古鵄	kotetsu	Long-nosed goblin	天狗	tengu
Peacock	孔雀	kujaku	Long-nosed goblin	天狗	tengu
Water dragon	水龍	suiryū	Phoenix-master	鳳師	hōshi
Fire dragon	火龍	karyū	Kirin-master	麟師	rinshi
Copper general	銅将	dōshō	Side mover	横行	ōgyō
Phoenix-master	鳳師	hōshi	—		
Kirin-master	麟師	rinshi	—		
Silver chariot	銀車	ginsha	*Goose wing	鴻翼	kōyoko
Vertical bear	竪熊	shuyū	*Free bear	奔熊	hon'yū
Knight	桂馬	keima	Side soldier	横兵	ōhei
Pig general	豚将	tonshō	*Free pig	奔豚	honton
Chicken general	鶏将	keishō	*Free chicken	奔鶏	honkei
Pup general	狗将	kushō	Free pup	奔狗	honku
Horse general	馬将	bashō	*Free horse	奔馬	honba
Ox general	牛将	gyūshō	*Free ox	奔牛	hongyū
Center standard	中旗	chūki	Front standard	前旗	zenki
Side boar	横猪	ōcho	*Free boar	奔猪	honcho
Silver rabbit	銀兎	ginto	Whale	鯨鯢	keigei
Golden deer	金鹿	konroku	White horse	白駒	hakku
Lion	獅子	shishi	*Furious fiend	奮迅	funjin
Captive cadet	禽曹	kinsō	Captive officer	禽吏	kinri
Great stag	大鹿	dairoku	*Free stag	奔鹿	honroku
Violent dragon	猛龍	mōryū	Great dragon	大龍	dairyū
Woodland demon	林鬼	rinki	*Right phoenix[2]	右鵰	ushū
Vice general	副将	fukushō	Great general	大将	taishō
Stone chariot	石車	sekisha	*Walking heron	歩䳲	fushin
Cloud eagle	雲鷲	unjū	*Strong eagle	勁鷲	keijū
Bishop	角行	kakugyō	Dragon horse	龍馬	ryūme
Rook	飛車	hisha	Dragon king	龍王	ryūō
Side wolf	横狼	ōrō	*Free wolf	奔狼	honrō
